NA-63,Rawalpindi,Punjab,Ghulam Sarvar Khan,PTI,8445
NA-63,Rawalpindi,Punjab,Chaudhry Nisar Ali Khan,IND,4475
NA-64,Chakwal,Punjab,zulfiqar Ali Khan,PTI,5337
NA-64,Chakwal,Punjab,Major R Tahir iqbal,PML-N,4004
NA-65,Chakwal,Punjab,Chaudry Pervaiz Elahi,PML-Q,4325
NA-65,Chakwal,Punjab,Muhammad Faez Tamman,PML-N,2542
NA-66,Jhelum,Punjab,Chaudhry Farrukh Altaf,PTI,611
NA-66,Jhelum,Punjab,Chaudhry Nadeem Khadim,PML-N,442
NA-67,Jhelum,Punjab,Raja Matloob mehdi,PML-N,1530
NA-67,Jhelum,Punjab,Fawad Ahmed,PTI,985
NA-68,Gujrat,Punjab,Hussain Elahi,PML-Q,2270
NA-68,Gujrat,Punjab,Nawabzada Ghazanfar Ali Gul,PML-N,1244
NA-69,Gujrat,Punjab,Chaudry Pervaiz Elahi,PML-Q,41701
NA-69,Gujrat,Punjab,Chaudhry Mubashir Hussain,PML-N,34193
NA-70,Gujrat,Punjab,Chaudhry Jaffar Iqbal,PML-N,2916
NA-70,Gujrat,Punjab,Syed Faiz ul Hassan,PTI,2717
NA-71,Gujrat,Punjab,Abid Raza Kotla,PML-N,16440
NA-71,Gujrat,Punjab,Muhammad Ilyas Chuadhry,PTI,13208
NA-72,Sialkot,Punjab,Armaghan Subhani,PML-N,1101
NA-72,Sialkot,Punjab,Firdous Ashiq,PTI,661
NA-74,Sialkot,Punjab,Ali Zahid,PML-N,303
NA-74,Sialkot,Punjab,Ghulam Abbas,PML-N,291
NA-75,Sialkot,Punjab,Syed Iftikhar Ul Hassan,PML-N,5264
NA-75,Sialkot,Punjab,Ali Asjad Malhi,PTI,2872
NA-75,Sialkot,Punjab,Usman Abid,IND,111
NA-76,Sialkot,Punjab,Rana Shamim Ahmed Khan,PML-N,394
NA-76,Sialkot,Punjab,Muhammad Aslam,PTI,320
NA-77,Narowal,Punjab,Mehnaz Aziz,PML-N,52685
NA-77,Narowal,Punjab,Mian Muhammad Rasheed,PTI,11063
NA-78,Narowal,Punjab,Ahsan Iqbal,PML-N,59771
NA-78,Narowal,Punjab,Abrar Ul Haq,PTI,15240
NA-79,Gujranwala,Punjab,Muhammad Ahmed Chattha,PTI,31450
NA-79,Gujranwala,Punjab,Nisar Ahmad Cheema,PML-N,28332
NA-80,Gujranwala,Punjab,Tariq Mehmood,PTI,28840
NA-80,Gujranwala,Punjab,Chaudhry Mehmood Bashir Virk,PML-N,25774
NA-81,Gujranwala,Punjab,Khurram Dastagir Khan,PML-N,17872
NA-82,Gujranwala,Punjab,Usman Ibrahim,PML-N,15550
NA-82,Gujranwala,Punjab,Ali Ashraf Mughal,PTI,13435
NA-83,Gujranwala,Punjab,Zulfiqar Ahmad,PML-N,30275
NA-83,Gujranwala,Punjab,Rana Nazir Ahmad Khan,PTI,14273
NA-84,Gujranwala,Punjab,Azhar Qayyum nahra,PML-N,15400
NA-84,Gujranwala,Punjab,Chaudhry Bilal Ejaz,PTI,11338
NA-85,Mandi Bahauddin,Punjab,Haji Imtiaz Ahmad Chodhary,PTI,20996
NA-85,Mandi Bahauddin,Punjab,Chaudhary Mushahid Raza,PML-N,9580
NA-85,Mandi Bahauddin,Punjab,Asif Bashir Bhagat,PPPP,3259
NA-87,Hafizabad,Punjab,Saira Afzal Tarar,PML-N,2879
NA-87,Hafizabad,Punjab,Chaudhary Shaukat Ali Bhatti,PTI,2340
